Year,Nominal_GDP_USD_Billions,Real_GDP_Constant2021USD_Billions
1950,1.3,18.0
1951,1.42,19.2
1952,1.54,20.4
1953,1.66,21.6
1954,1.7799999999999998,22.8
1955,1.9,24.0
1956,2.04,25.6
1957,2.18,27.2
1958,2.3200000000000003,28.8
1959,2.46,30.4
1960,2.6,32.0
1961,2.88,34.6
1962,3.16,37.2
1963,3.44,39.8
1964,3.7199999999999998,42.4
1965,4.0,45.0
1966,4.6,49.4
1967,5.2,53.8
1968,5.8,58.2
1969,6.4,62.6
1970,7.0,67.0
1971,8.4,72.6
1972,9.8,78.2
1973,11.2,83.8
1974,12.6,89.4
1975,14.0,95.0
1976,16.0,100.2
1977,18.0,105.4
1978,20.0,110.6
1979,22.0,115.8
1980,24.0,121.0
1981,24.8,124.4
1982,25.6,127.8
1983,26.4,131.2
1984,27.2,134.6
1985,28.0,138.0
1986,34.2,145.4
1987,40.4,152.8
1988,46.6,160.2
1989,52.8,167.6
1990,59.0,175.0
1991,67.2,182.8
1992,75.4,190.6
1993,83.6,198.4
1994,91.8,206.2
1995,100.0,214.0
1996,106.4,223.0
1997,112.8,232.0
1998,119.2,241.0
1999,125.6,250.0
2000,132.0,259.0
2001,134.0,265.6
2002,136.0,272.2
2003,138.0,278.8
2004,140.0,285.4
2005,142.0,292.0
2006,160.4,301.6
2007,178.8,311.2
2008,197.2,320.8
2009,215.6,330.4
2010,234.0,340.0
2011,248.0,349.8
2012,262.0,359.6
2013,276.0,369.4
2014,290.0,379.2
2015,304.0,389.0
2016,325.8,391.4
2017,347.6,393.8
2018,369.4,396.2
2019,391.2,398.6
2020,413.0,401.0
2021,488.0,430.0
2022,526.0,445.0
2023,512.0,452.0
2024,540.38,466.0
